 ,Area,Mean,Min,Max,Perim.,Circ.,AR,Round,Solidity
1,112.000,1,1,1,58.467,0.412,2.546,0.393,0.916
2,121.246,1,1,1,51.110,0.583,2.352,0.425,0.944
3,124.834,1,1,1,51.071,0.601,2.207,0.453,0.955
4,125.882,1,1,1,50.993,0.608,2.026,0.494,0.959
5,125.856,1,1,1,50.156,0.629,1.996,0.501,0.961
6,121.665,1,1,1,51.411,0.578,2.072,0.483,0.936
7,132.247,1,1,1,52.595,0.601,2.033,0.492,0.944
8,139.030,1,1,1,53.013,0.622,1.997,0.501,0.949
9,146.495,1,1,1,50.433,0.724,1.903,0.525,0.972
10,150.319,1,1,1,51.222,0.720,1.767,0.566,0.968
11,148.276,1,1,1,50.116,0.742,1.648,0.607,0.967
12,151.970,1,1,1,50.022,0.763,1.603,0.624,0.972
13,154.720,1,1,1,51.150,0.743,1.587,0.630,0.972
14,157.784,1,1,1,53.416,0.695,1.557,0.642,0.969
15,161.792,1,1,1,52.271,0.744,1.537,0.651,0.969
16,161.373,1,1,1,52.902,0.725,1.516,0.660,0.973
17,163.547,1,1,1,52.003,0.760,1.512,0.661,0.971
18,163.992,1,1,1,52.350,0.752,1.517,0.659,0.969
19,165.564,1,1,1,52.003,0.769,1.521,0.658,0.970
20,166.480,1,1,1,52.271,0.766,1.529,0.654,0.970
21,166.559,1,1,1,53.147,0.741,1.524,0.656,0.965
22,169.676,1,1,1,52.840,0.764,1.532,0.653,0.969
23,168.969,1,1,1,52.824,0.761,1.524,0.656,0.968
24,190.185,1,1,1,89.476,0.299,1.340,0.746,0.825
25,191.966,1,1,1,86.572,0.322,1.355,0.738,0.830
26,174.312,1,1,1,53.890,0.754,1.528,0.655,0.967
27,196.340,1,1,1,87.756,0.320,1.337,0.748,0.836
28,176.172,1,1,1,53.716,0.767,1.517,0.659,0.970
29,177.481,1,1,1,55.073,0.735,1.525,0.656,0.968
